5muy_A     5mus_A  5muyA     5musA gtm1=  0.99898 gtm2=  0.99898 gbest= 0.998980  gdtts=   0.9985
5muy_A     5mus_B  5muyA     5musB gtm1=  0.94773 gtm2=  0.94497 gbest= 0.947730  gdtts=   0.8180
5muy_A     5muy_B  5muyA     5muyB gtm1=  0.94671 gtm2=  0.94671 gbest= 0.946710  gdtts=   0.8157
5muy_A     7bfq_U  5muyA     7bfqU gtm1=  0.27998 gtm2=  0.56040 gbest= 0.560400  gdtts=   0.5278
5muy_A     6zv1_A  5muyA     6zv1A gtm1=  0.27760 gtm2=  0.50758 gbest= 0.507580  gdtts=   0.5042
5muy_A     5muz_B  5muyA     5muzB gtm1=  0.27723 gtm2=  0.87905 gbest= 0.879050  gdtts=   0.9069
5muy_A     6zv1_A  5muyA     6zv1A gtm1=  0.27648 gtm2=  0.51782 gbest= 0.517820  gdtts=   0.5216
5muy_A     6zv1_A  5muyA     6zv1A gtm1=  0.27621 gtm2=  0.50424 gbest= 0.504240  gdtts=   0.4813
5muy_A     5muz_A  5muyA     5muzA gtm1=  0.27552 gtm2=  0.91646 gbest= 0.916460  gdtts=   0.9167
5muy_A     6zv1_A  5muyA     6zv1A gtm1=  0.27463 gtm2=  0.50154 gbest= 0.501540  gdtts=   0.4853
5muy_A     6zv1_A  5muyA     6zv1A gtm1=  0.27319 gtm2=  0.50178 gbest= 0.501780  gdtts=   0.4935
5muy_A     6zv1_A  5muyA     6zv1A gtm1=  0.27284 gtm2=  0.50609 gbest= 0.506090  gdtts=   0.5000
5muy_A    9cpc_1B  5muyA    9cpc1B gtm1=  0.27030 gtm2=  0.50131 gbest= 0.501310  gdtts=   0.5326
5muy_A     1inz_A  5muyA     1inzA gtm1=  0.26976 gtm2=  0.50983 gbest= 0.509830  gdtts=   0.5199
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.26531 gtm2=  0.55612 gbest= 0.556120  gdtts=   0.5421
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26524 gtm2=  0.55271 gbest= 0.552710  gdtts=   0.5440
5muy_A     6vti_A  5muyA     6vtiA gtm1=  0.26511 gtm2=  0.50011 gbest= 0.500110  gdtts=   0.5318
5muy_A     6vti_A  5muyA     6vtiA gtm1=  0.26486 gtm2=  0.50057 gbest= 0.500570  gdtts=   0.5227
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.26359 gtm2=  0.54873 gbest= 0.548730  gdtts=   0.5417
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.26341 gtm2=  0.54775 gbest= 0.547750  gdtts=   0.5374
5muy_A     5lvf_A  5muyA     5lvfA gtm1=  0.26254 gtm2=  0.50050 gbest= 0.500500  gdtts=   0.4978
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26239 gtm2=  0.55359 gbest= 0.553590  gdtts=   0.5690
5muy_A     2n3u_A  5muyA     2n3uA gtm1=  0.26218 gtm2=  0.53786 gbest= 0.537860  gdtts=   0.5568
5muy_A     2n3v_A  5muyA     2n3vA gtm1=  0.26185 gtm2=  0.54208 gbest= 0.542080  gdtts=   0.5463
5muy_A     2n3w_A  5muyA     2n3wA gtm1=  0.26156 gtm2=  0.54092 gbest= 0.540920  gdtts=   0.5448
5muy_A     2n3t_A  5muyA     2n3tA gtm1=  0.26144 gtm2=  0.53907 gbest= 0.539070  gdtts=   0.5354
